Event|Day|Date|Time|Location|Speakers|Moderator|ModeratorOrg|URL
Finding the story: Cracking the political piggy bank|Saturday|June 18|9 a.m.|Salon B|Christopher Schnaars|No moderator listed||http://www.ire.org/events-and-training/event/2199/2654/
All about the analysis|Friday|June 17|9 a.m.|Salon D| Rob Barry, Crina Boros, Steven Rich, Chrys Wu|Chrys Wu|The New York Times|http://www.ire.org/events-and-training/event/2199/2692/
Panama Papers: How the world's largest collaborative investigation came together|Saturday|June 18|10:15 a.m.|Salon D| Mar Cabra, Michael Hudson, Joachim Dyfvermark, Chrys Wu|Chrys Wu|The New York Times|http://www.ire.org/events-and-training/event/2199/2667/
Broadcast: How to get people to talk|Friday|June 17|11:30 a.m.|Galerie 3| Cindy Galli, Dina Gusovsky, Scott Zamost|No moderator listed||http://www.ire.org/events-and-training/event/2199/2582/
Digging Into nonprofits: Beyond 990s|Saturday|June 18|11:30 a.m.|Salon F-H|Cindy Lott|No moderator listed||http://www.ire.org/events-and-training/event/2199/2605/
Protecting kids: Accessing child welfare records|Saturday|June 18|9 a.m.|Salon F-H| Sarah Butrymowicz, John Ferrugia, Clark Fouraker|No moderator listed||http://www.ire.org/events-and-training/event/2199/2611/
Tracking government spending|Thursday|June 16|9 a.m.|Salon F-H| Ziva Branstetter, Colby Goodman, Norberto Santana Jr.|No moderator listed||http://www.ire.org/events-and-training/event/2199/2560/
NICAR Commons: The Southern Girls Project|Friday|June 17|10:15 a.m.|Preservation Hall| Elizabeth Hoekenga, Connor Sheets, Diana Samuels|No moderator listed||http://www.ire.org/events-and-training/event/2199/2776/
When journalism and security research collide (Sponsored by Knight Foundation)|Saturday|June 18|4:15 p.m.|Galerie 1| Dave Maass, Jeremy Gillula, Cora Currier, Yael Grauer|No moderator listed||http://www.ire.org/events-and-training/event/2199/2711/
Excel 2: Functions and pivot tables|Thursday|June 16|11:30 a.m.|Salon B|Crina Boros|No moderator listed||http://www.ire.org/events-and-training/event/2199/2641/
Crossing borders: Exploring issues of visa and migrant abuse|Saturday|June 18|11:30 a.m.|Galerie 4-5| Daffodil Altan, Garance Burke, Ron Nixon|No moderator listed||http://www.ire.org/events-and-training/event/2199/2578/
Uncovering stories on the business beat (Sponsored by Bloomberg)|Friday|June 17|2:30 p.m.|Salon E| Dakin Campbell, Michael Grabell, Pat Beall, Will Sutton|Will Sutton|Grambling State University|http://www.ire.org/events-and-training/event/2199/2683/
Tools and tips for the reporting process (Sponsored by Knight Foundation)|Thursday|June 16|10:15 a.m.|Galerie 1| Daniel Connolly, Lauren Grandestaff, Jesse Patel|No moderator listed||http://www.ire.org/events-and-training/event/2199/2728/
A sneak peek at Tableau Public 10.0: Fast and easy mobile-friendly data vizzes (Hosted by Tableau)|Thursday|June 16|5:30 p.m.|Salon C|Daniel Hom|No moderator listed||http://www.ire.org/events-and-training/event/2199/2765/
NICAR Commons: Julia - One language to rule them all|Friday|June 17|11:30 a.m.|Preservation Hall|Daniel Lathrop|Daniel Lathrop|University of Iowa|http://www.ire.org/events-and-training/event/2199/2777/
Advanced design and interaction in Tableau Public (Hosted by Tableau) *pre-registered attendees only|Thursday|June 16|11 a.m.|Salon C|Dash Davidson|No moderator listed||http://www.ire.org/events-and-training/event/2199/2697/
Designing Tableau visualizations for mobile (Hosted by Tableau) *pre-registered attendees only|Thursday|June 16|3:45 p.m.|Salon C|Dash Davidson|No moderator listed||http://www.ire.org/events-and-training/event/2199/2699/
Involving your audience in your investigation|Friday|June 17|2:30 p.m.|Studio 9-10| Michelle Holmes, Robert Benincasa, Shawn McIntosh, Dave Maass|Shawn McIntosh|The Atlanta Journal-Constitution|http://www.ire.org/events-and-training/event/2199/2617/
Show & Tell *Saturday - #2 (Sponsored by Napoli Management Group)|Saturday|June 18|10:15 a.m.|Galerie 2|Dave Savini|Dave Savini|CBS/WBBM Chicago.|http://www.ire.org/events-and-training/event/2199/2724/
Educators: Guiding students on controversial campus investigations|Saturday|June 18|10:15 a.m.|Studio 9-10| David Armstrong, Dee J. Hall, Karl Idsvoog, Gary Putka|Dee J. Hall| Wisconsin Center for Investigative Reporting|http://www.ire.org/events-and-training/event/2199/2660/
Management: Culture change - Steering your newsroom into the multiplatform world|Friday|June 17|3:45 p.m.|Salon E| Lawan Hamilton, David Boardman, Robert Rosenthal, Stephen Engelberg|David Boardman|Temple University|http://www.ire.org/events-and-training/event/2199/2597/
Failures of enforcement|Thursday|June 16|5 p.m.|Salon E| Howard Berkes, Jeremy Schwartz, David Heath, Ziva Branstetter|Ziva Branstetter|The Frontier|http://www.ire.org/events-and-training/event/2199/2701/
Free options for mapping (Sponsored by Knight Foundation)|Sunday|June 19|9 a.m.|Galerie 1|David Herzog|No moderator listed||http://www.ire.org/events-and-training/event/2199/2629/
Mapping Camp *pre-registered attendees only|Thursday|June 16|9 a.m.|Salon A| David Herzog, Jennifer LaFleur|No moderator listed||http://www.ire.org/events-and-training/event/2199/2540/
50 apps in 30 minutes (+ 30 minutes of other cool stuff)|Thursday|June 16|2:30 p.m.|Salon E|David Ho|No moderator listed||http://www.ire.org/events-and-training/event/2199/2558/
Mobile is now: Transforming newsrooms for the age of the smartphone|Friday|June 17|11:30 a.m.|Studio 9-10|David Ho|No moderator listed||http://www.ire.org/events-and-training/event/2199/2616/
Navigating legal minefields in the source-journalist relationship|Friday|June 17|3:45 p.m.|Salon F-H| David Schertler, Karen Williams, Mark MacDougall, Michael Isikoff|Michael Isikoff|Yahoo News|http://www.ire.org/events-and-training/event/2199/2601/
Campaign 2016: Covering state and local elections (Sponsored by Rockefeller Brothers Fund)|Saturday|June 18|10:15 a.m.|Galerie 4-5| Denise Roth Barber, Melissa Yeager, Denise Malan, David Washburn|Denise Malan|IRE/INN|http://www.ire.org/events-and-training/event/2199/2608/
After Ferguson: What's next for reporting on policing in America?|Friday|June 17|10:15 a.m.|Salon D| DeRay Mckesson, Oliver Laughland, Errin Haines Whack, Wesley Lowery|No moderator listed||http://www.ire.org/events-and-training/event/2199/2596/
Rising waters: Investigating the impact of storms and the shrinking coast|Friday|June 17|10:15 a.m.|Galerie 6| Deborah Nelson, Mark Schleifstein, Steve Beatty, Neena Satija|Steve Beatty|The Lens|http://www.ire.org/events-and-training/event/2199/2688/
NICAR Commons: Story clinic (repeat)|Saturday|June 18|3 p.m.|Preservation Hall| Mark Horvit, Megan Luther, Denise Malan|No moderator listed||http://www.ire.org/events-and-training/event/2199/2781/
The jazz scene in New Orleans after Katrina|Wednesday|June 15|4:30 p.m.|Balcony K|Don Vappie|No moderator listed||http://www.ire.org/events-and-training/event/2199/2766/
Automate and turbocharge your social media (Sponsored by Knight Foundation)|Thursday|June 16|5 p.m.|Galerie 1|Doug Haddix|No moderator listed||http://www.ire.org/events-and-training/event/2199/2574/
Social media on the map|Friday|June 17|9 a.m.|Salon F-H|Doug Haddix|No moderator listed||http://www.ire.org/events-and-training/event/2199/2598/
Stupid offshore tricks (Sponsored by Knight Foundation)|Saturday|June 18|3 p.m.|Galerie 1|Drew Sullivan|No moderator listed||http://www.ire.org/events-and-training/event/2199/2687/
