Event|Day|Date|Time|Location|Speakers|Moderator|ModeratorOrg|URL
Getting data into Excel (repeat session)|Sunday|June 19|11:30 a.m.|Salon B|Megan Luther|No moderator listed||http://www.ire.org/events-and-training/event/2199/2710/
Excel tricks|Friday|June 17|3:45 p.m.|Salon C|Meghan Hoyer|No moderator listed||http://www.ire.org/events-and-training/event/2199/2707/
Unleash the data: Tools and tricks for taming PDFs (repeat session)|Saturday|June 18|4:15 p.m.|Salon C|Miguel Barbosa|No moderator listed||http://www.ire.org/events-and-training/event/2199/2650/
Follow the money to tax havens (Sponsored by Knight Foundation)|Thursday|June 16|9 a.m.|Galerie 1|Miranda Patrucic|No moderator listed||http://www.ire.org/events-and-training/event/2199/2571/
Uncovering stories on the local government beat|Saturday|June 18|4:15 p.m.|Galerie 4-5| Nick Grube, Terri Langford, Travers Mackel|No moderator listed||http://www.ire.org/events-and-training/event/2199/2610/
Investigating inequality|Thursday|June 16|2:30 p.m.|Salon D| Nikole Hannah-Jones|No moderator listed||http://www.ire.org/events-and-training/event/2199/2552/
Cleaning data with OpenRefine|Thursday|June 16|3:45 p.m.|Salon B| Robert Gebeloff, Nils Mulvad|No moderator listed||http://www.ire.org/events-and-training/event/2199/2653/
Show & Tell *Thursday - #5 (Sponsored by Napoli Management Group)|Thursday|June 16|5 p.m.|Galerie 2|Patricia DiCarlo|Patricia DiCarlo| CNN.|http://www.ire.org/events-and-training/event/2199/2717/
Show & Tell *Thursday - #3 (Sponsored by Napoli Management Group)|Thursday|June 16|11:30 a.m.|Galerie 2|Patti Dennis|Patti Dennis|TEGNA|http://www.ire.org/events-and-training/event/2199/2715/
Excel 1: Getting started with spreadsheets|Thursday|June 16|10:15 a.m.|Salon B|Patti DiVincenzo|No moderator listed||http://www.ire.org/events-and-training/event/2199/2640/
Show & Tell *Friday - #1 (Sponsored by Napoli Management Group)|Friday|June 17|9 a.m.|Galerie 2|Ramon Escobar|Ramon Escobar|CNN|http://www.ire.org/events-and-training/event/2199/2718/
Show & Tell *Friday - #2 (Sponsored by Napoli Management Group)|Friday|June 17|10:15 a.m.|Galerie 2|Ramon Escobar|Ramon Escobar|CNN|http://www.ire.org/events-and-training/event/2199/2719/
Excel 2: Functions and pivot tables (repeat session)|Friday|June 17|10:15 a.m.|Salon A|Ron Nixon|No moderator listed||http://www.ire.org/events-and-training/event/2199/2632/
Joining data with SQL|Friday|June 17|5 p.m.|Salon A|Ronald Campbell|No moderator listed||http://www.ire.org/events-and-training/event/2199/2636/
Getting data into Excel|Thursday|June 16|2:30 p.m.|Salon B|Rui Kaneya|No moderator listed||http://www.ire.org/events-and-training/event/2199/2642/
Finding the story: Lottery scandals|Saturday|June 18|3 p.m.|Salon A|Russ Ptacek|No moderator listed||http://www.ire.org/events-and-training/event/2199/2647/
5 hacks to get started in data or tech (Sponsored by Knight Foundation)|Thursday|June 16|3:45 p.m.|Galerie 1|Samantha Sunne|No moderator listed||http://www.ire.org/events-and-training/event/2199/2573/
Web scraping for anyone|Thursday|June 16|9 a.m.|Salon B|Samantha Sunne|No moderator listed||http://www.ire.org/events-and-training/event/2199/2705/
Web scraping for anyone (repeat session)|Sunday|June 19|9 a.m.|Salon B|Samantha Sunne|No moderator listed||http://www.ire.org/events-and-training/event/2199/2709/
NICAR Commons: The good, bad & the ugly parts of newsrooom on-boarding processes (and how can we make them better)|Saturday|June 18|9 a.m.|Preservation Hall|Sandhya Kambhampati|Sandhya Kambhampati|Knight-Mozilla OpenNews fellow|http://www.ire.org/events-and-training/event/2199/2785/
The Grammar of Graphics: Making Plots in R using ggplot2|Saturday|June 18|3 p.m.|Salon C|Sandhya Kambhampati|No moderator listed||http://www.ire.org/events-and-training/event/2199/2651/
Advanced OpenRefine: Using regular expressions|Friday|June 17|2:30 p.m.|Salon C|Sarah Cohen|No moderator listed||http://www.ire.org/events-and-training/event/2199/2645/
NICAR Commons: Knight workshop - 10 campus investigations you can start today|Saturday|June 18|4:15 p.m.|Preservation Hall|Sarah Hutchins|No moderator listed||http://www.ire.org/events-and-training/event/2199/2784/
Under pressure: Real life in real time with breaking news|Friday|June 17|9 a.m.|Salon C|Stephen Stock|No moderator listed||http://www.ire.org/events-and-training/event/2199/2643/
Under pressure: Real life in real time with breaking news (repeat session)|Saturday|June 18|11:30 a.m.|Salon B|Stephen Stock|No moderator listed||http://www.ire.org/events-and-training/event/2199/2652/
When, why and how to use unnamed sources (Sponsored by Knight Foundation)|Saturday|June 18|10:15 a.m.|Galerie 1|Steve Buttry|No moderator listed||http://www.ire.org/events-and-training/event/2199/2572/
10 great business databases to mine for stories (Sponsored by the Donald W. Reynolds National Center for Business Journalism)|Wednesday|June 15|2 p.m.|Galerie 3|Steve Doig|No moderator listed||http://www.ire.org/events-and-training/event/2199/2559/
Stats in Excel|Saturday|June 18|4:15 p.m.|Salon A|Steve Doig|No moderator listed||http://www.ire.org/events-and-training/event/2199/2639/
Web scraping without programming (Sponsored by Knight Foundation)|Friday|June 17|2:30 p.m.|Galerie 1|Steve Reilly|No moderator listed||http://www.ire.org/events-and-training/event/2199/2587/
Show & Tell *Friday - #3 (Sponsored by Napoli Management Group)|Friday|June 17|11:30 a.m.|Galerie 2|Steven Ackermann|Steven Ackermann|Raycom Media|http://www.ire.org/events-and-training/event/2199/2720/
NICAR Commons: How to have "the talk" with your editor|Saturday|June 18|11:30 a.m.|Preservation Hall|Steven Rich|Steven Rich|The Washington Post|http://www.ire.org/events-and-training/event/2199/2779/
Show & Tell *Thursday - #2 (Sponsored by Napoli Management Group)|Thursday|June 16|10:15 a.m.|Galerie 2|Susana Schuler|Susana Schuler|Raycom Media|http://www.ire.org/events-and-training/event/2199/2714/
Digging deeper with SQL: Grouping and summing|Friday|June 17|3:45 p.m.|Salon A|T. Christian Miller|No moderator listed||http://www.ire.org/events-and-training/event/2199/2635/
The digital FOIA: How to get the government to give you the database you want (Sponsored by Knight Foundation)|Sunday|June 19|11:30 a.m.|Galerie 1|T. Christian Miller|No moderator listed||http://www.ire.org/events-and-training/event/2199/2731/
Intro to SQL|Friday|June 17|2:30 p.m.|Salon A|Thomas Thoren|No moderator listed||http://www.ire.org/events-and-training/event/2199/2634/
Simple mapping with Fusion Tables|Sunday|June 19|10:15 a.m.|Salon B|Thomas Thoren|No moderator listed||http://www.ire.org/events-and-training/event/2199/2732/
When Excel isn't enough (Sponsored by Knight Foundation)|Friday|June 17|10:15 a.m.|Galerie 1|Thomas Thoren|No moderator listed||http://www.ire.org/events-and-training/event/2199/2586/
Best of broadcast|Saturday|June 18|3 p.m.|Galerie 3|Tisha Thompson|No moderator listed||http://www.ire.org/events-and-training/event/2199/2625/
Government data to drive your stories (Sponsored by Knight Foundation)|Thursday|June 16|11:30 a.m.|Galerie 1| Troy Thibodeaux, Tyson Weister|No moderator listed||http://www.ire.org/events-and-training/event/2199/2690/
Interrogating data with SQL pt. 1|Sunday|June 19|10:15 a.m.|Salon A|Troy Thibodeaux|No moderator listed||http://www.ire.org/events-and-training/event/2199/2734/
Interrogating data with SQL pt. 2|Sunday|June 19|11:30 a.m.|Salon A|Troy Thibodeaux|No moderator listed||http://www.ire.org/events-and-training/event/2199/2735/
Fundamentals of Neo4j graph database for data analysis|Friday|June 17|5 p.m.|Salon C|William Lyon|No moderator listed||http://www.ire.org/events-and-training/event/2199/2655/
